2015-02-11 07:21:36, spooks.local, PE_file, yaramem, /usr/libexec/opendirectoryd, 56

2015-02-11 07:21:39, spooks.local, PE_file, yaramem, /usr/sbin/wirelessproxd, 57

2015-02-11 07:21:43, spooks.local, PE_file, yaramem, /usr/libexec/discoveryd, 59

2015-02-11 07:21:46, spooks.local, PE_file, yaramem, /System/Library/PrivateFrameworks/ApplePushService.framework/apsd, 60

2015-02-11 07:21:49, spooks.local, PE_file, yaramem, /System/Library/CoreServices/launchservicesd, 62

2015-02-11 07:21:52, spooks.local, PE_file, yaramem, /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd, 63

2015-02-11 07:21:55, spooks.local, PE_file, yaramem, /usr/sbin/securityd, 64

2015-02-11 07:21:59, spooks.local, PE_file, yaramem, /usr/libexec/locationd, 66

2015-02-11 07:22:02, spooks.local, PE_file, yaramem, /usr/libexec/autofsd, 69

2015-02-11 07:22:05, spooks.local, PE_file, yaramem, /usr/sbin/blued, 70

2015-02-11 07:22:07, spooks.local, PE_file, yaramem, /usr/local/McAfee/fmp/bin/fmpd, 71

2015-02-11 07:22:10, spooks.local, PE_file, yaramem, /usr/local/McAfee/AntiMalware/VShieldScanManager, 75

2015-02-11 07:22:13, spooks.local, PE_file, yaramem, /usr/libexec/stackshot, 76

2015-02-11 07:22:16, spooks.local, PE_file, yaramem, /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond, 77

2015-02-11 07:22:23, spooks.local, PE_file, yaramem, /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow, 78

2015-02-11 07:22:25, spooks.local, PE_file, yaramem, /System/Library/CoreServices/logind, 79

2015-02-11 07:22:28, spooks.local, PE_file, yaramem, /usr/sbin/KernelEventAgent, 80

2015-02-11 07:22:31, spooks.local, PE_file, yaramem, /usr/libexec/hidd, 82

2015-02-11 07:22:32, spooks.local, PE_file, yaramem, /Library/McAfee/cma/bin/launchcma, 83

2015-02-11 07:22:35, spooks.local, PE_file, yaramem, /usr/libexec/amfid, 84

2015-02-11 07:22:39, spooks.local, PE_file, yaramem, /usr/libexec/taskgated, 85

2015-02-11 07:22:42, spooks.local, PE_file, yaramem, /usr/sbin/notifyd, 86

2015-02-11 07:22:44, spooks.local, PE_file, yaramem, /usr/sbin/distnoted, 87

2015-02-11 07:22:48, spooks.local, PE_file, yaramem, /usr/libexec/diagnosticd, 92

2015-02-11 07:22:52, spooks.local, PE_file, yaramem, /usr/sbin/cfprefsd, 93

2015-02-11 07:22:55, spooks.local, PE_file, yaramem, /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd, 95

2015-02-11 07:22:59, spooks.local, PE_file, yaramem, /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/Support/coreservicesd, 101

2015-02-11 07:23:03, spooks.local, PE_file, yaramem, /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd, 105

2015-02-11 07:24:11, spooks.local, PE_file, yaramem, /System/Library/Frameworks/CoreGraphics.framework/Versions/A/Resources/WindowServer, 121

2015-02-11 07:24:14, spooks.local, PE_file, yaramem, /System/Library/Frameworks/CryptoTokenKit.framework/ctkd, 122

2015-02-11 07:24:18, spooks.local, PE_file, yaramem, /usr/libexec/secinitd, 123

2015-02-11 07:24:21, spooks.local, PE_file, yaramem, /usr/libexec/findmydeviced, 124

2015-02-11 07:24:24, spooks.local, PE_file, yaramem, /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd, 126

2015-02-11 07:24:27, spooks.local, PE_file, yaramem, /usr/libexec/nsurlstoraged, 127

2015-02-11 07:24:30, spooks.local, PE_file, yaramem, /usr/libexec/nsurlsessiond, 129

2015-02-11 07:24:33, spooks.local, PE_file, yaramem, /usr/libexec/nehelper, 130

2015-02-11 07:24:36, spooks.local, PE_file, yaramem, /usr/sbin/ntpd, 131

2015-02-11 07:24:39, spooks.local, PE_file, yaramem, /usr/libexec/usbd, 132

2015-02-11 07:24:42, spooks.local, PE_file, yaramem, /usr/libexec/networkd, 133

2015-02-11 07:24:43, spooks.local, PE_file, yaramem, /usr/sbin/cron, 135

2015-02-11 07:24:46, spooks.local, PE_file, yaramem, /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader, 136

2015-02-11 07:24:49, spooks.local, PE_file, yaramem, /usr/libexec/corestoraged, 139

2015-02-11 07:24:53, spooks.local, PE_file, yaramem, /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/VDC.plugin/Contents/Resources/VDCAssistant, 140

2015-02-11 07:24:55, spooks.local, PE_file, yaramem, /usr/libexec/sysmond, 141

2015-02-11 07:24:58, spooks.local, PE_file, yaramem, /usr/libexec/networkd_privileged, 142

2015-02-11 07:25:00, spooks.local, PE_file, yaramem, /usr/libexec/discoveryd_helper, 148

